Symbol,Date,Open,High,Low,Close,Adj Close,Volume
LCID,2022-01-03,38.549999,41.759998,37.959999,40.93,40.93,45685100
LCID,2022-01-04,40.75,41.290001,38.380001,39.41,39.41,30476900
LCID,2022-01-05,38.68,39.060001,36.130001,36.68,36.68,43318800
LCID,2022-01-06,36.450001,38.580002,33.759998,38.220001,38.220001,58375500
LCID,2022-01-07,37.505001,43.290001,37.5,41.98,41.98,78419600
LCID,2022-01-10,40.630001,43.169998,40.43,41.720001,41.720001,44353300
LCID,2022-01-11,41.810001,45.48,41.490002,45.470001,45.470001,60554200
LCID,2022-01-12,45.740002,47.59,44.029999,45.43,45.43,49592700
LCID,2022-01-13,45.73,46.290001,41.360001,41.41,41.41,36293100
LCID,2022-01-14,40.974998,43.400002,40.950001,42.220001,42.220001,33308400
LCID,2022-01-18,40.68,41.279999,39,39.209999,39.209999,29511500
LCID,2022-01-19,39.48,42.439999,39.439999,40.029999,40.029999,36994600
LCID,2022-01-20,41.509998,42.950001,38.689999,38.720001,38.720001,45831900
LCID,2022-01-21,39.029999,39.98,37.185001,37.75,37.75,38254000
LCID,2022-01-24,36.139999,37.880001,34.119999,37.75,37.75,45173000
LCID,2022-01-25,36.630001,37.549999,35.220001,35.459999,35.459999,27029100
LCID,2022-01-26,36.290001,36.880001,32.990002,33.41,33.41,51058100
LCID,2022-01-27,33.849998,33.91,28.389999,28.700001,28.700001,67318200
LCID,2022-01-28,28.058001,28.43,25.632999,27.15,27.15,66779500
LCID,2022-01-31,28.115,29.48,27.42,29.389999,29.389999,41743100
LCID,2022-02-01,30.525,30.85,28.620001,29.959999,29.959999,38972300
LCID,2022-02-02,29.225,29.959999,27.4,27.68,27.68,35301500
LCID,2022-02-03,26.5,28.59,26.290001,26.950001,26.950001,30180400
LCID,2022-02-04,26.98,27.85,26.209999,27.549999,27.549999,20394500
LCID,2022-02-07,27.610001,28.33,26.4,26.969999,26.969999,22540000
LCID,2022-02-08,26.799999,27.629999,25.889999,27.43,27.43,19193200
LCID,2022-02-09,27.77,28.940001,27.59,28.83,28.83,21808600
LCID,2022-02-10,27.65,29.4,27.440001,27.91,27.91,24458300
LCID,2022-02-11,27.525,28.200001,25.610001,25.84,25.84,28761800
LCID,2022-02-14,25.812,28.41,25.68,27.440001,27.440001,41217500
LCID,2022-02-15,28.110001,28.889999,27.620001,28.870001,28.870001,22330300
LCID,2022-02-16,28.334999,29.18,27.860001,29,29,15842000
LCID,2022-02-17,28.440001,30.120001,27.92,28.110001,28.110001,24810600
LCID,2022-02-18,27.825001,28.280001,25.785,26.59,26.59,28475100
LCID,2022-02-22,25.764999,27.280001,24.940001,25.51,25.51,32634500
LCID,2022-02-23,25.764999,26.190001,23.799999,23.969999,23.969999,27159600
LCID,2022-02-24,22.011999,25.445,21.77,25.280001,25.280001,35062700
LCID,2022-02-25,25.440001,27,24.559999,26.35,26.35,28287200
LCID,2022-02-28,26.74,29.049999,26.17,28.98,28.98,51761800
LCID,2022-03-01,24.485001,25.75,23.379999,24.99,24.99,62757700
LCID,2022-03-02,24.719999,24.77,23.6,24.58,24.58,24038200
LCID,2022-03-03,24.49,24.52,22.41,22.629999,22.629999,28893100
LCID,2022-03-04,22.618999,23.73,22.01,22.629999,22.629999,33216500
LCID,2022-03-07,22.940001,24.41,22.9,23.17,23.17,35110300
LCID,2022-03-08,22.855,25.709999,22.610001,24.24,24.24,33349600
LCID,2022-03-09,25.129999,25.533001,24.75,25.26,25.26,18168800
LCID,2022-03-10,24.91,24.91,23.51,24.209999,24.209999,16508800
LCID,2022-03-11,24.049999,24.23,22.809999,22.92,22.92,18824700
LCID,2022-03-14,22.629999,23.25,21.313999,21.549999,21.549999,21366200
LCID,2022-03-15,21.5,22.030001,20.49,21.98,21.98,20404200
LCID,2022-03-16,22.129999,23.895,22.129999,23.620001,23.620001,28443700
LCID,2022-03-17,23.32,24.93,22.851,24.65,24.65,21491200
LCID,2022-03-18,24.940001,26.15,24.65,25.67,25.67,34740300
LCID,2022-03-21,25.85,26.200001,24.82,25.389999,25.389999,17521300
LCID,2022-03-22,25.450001,27.25,25.121,26.65,26.65,30663400
LCID,2022-03-23,26.5,26.809999,25.712,25.9,25.9,20981200
LCID,2022-03-24,26.01,26.57,25.030001,26.25,26.25,14925200
LCID,2022-03-25,25.940001,26.059999,24.52,25.16,25.16,17276700
LCID,2022-03-28,25.34,25.947001,24.639999,25.379999,25.379999,18224200
LCID,2022-03-29,25.559999,27.6,25.459999,27.360001,27.360001,33667100
LCID,2022-03-30,27.18,28.135,26.200001,26.5,26.5,21638400
LCID,2022-03-31,26.540001,26.549,25.25,25.4,25.4,17399100
LCID,2022-04-01,25.389999,25.559999,24.26,24.549999,24.549999,17175000
LCID,2022-04-04,24.66,25.43,24.639999,25.209999,25.209999,17025800
LCID,2022-04-05,25.209999,26.16,23.65,23.73,23.73,21146400
LCID,2022-04-06,23.6,23.6,22.610001,22.99,22.99,19407100
LCID,2022-04-07,23.1,23.219999,21.459,22.32,22.32,21277000
LCID,2022-04-08,22.059999,22.34,21.549999,21.67,21.67,15131100
LCID,2022-04-11,21.625,22.645,21.1,21.700001,21.700001,20100100
LCID,2022-04-12,22.379999,22.690001,21.1,21.290001,21.290001,21902600
LCID,2022-04-13,21.33,22.129999,20.83,22.049999,22.049999,22126100
LCID,2022-04-14,21.879999,22.08,20.91,21.01,21.01,18858000
LCID,2022-04-18,20.98,21.110001,19.860001,20.32,20.32,21821400
LCID,2022-04-19,20.219999,21.445,19.799999,21.41,21.41,18312700
LCID,2022-04-20,21.205,21.285,20.610001,20.870001,20.870001,13957000
LCID,2022-04-21,21.32,21.870001,19.475,19.549999,19.549999,23924900
LCID,2022-04-22,19.639999,20.01,18.91,19.110001,19.110001,22323900
LCID,2022-04-25,18.965,19.48,18.76,19.33,19.33,23859400
LCID,2022-04-26,19.254999,19.34,17.610001,17.639999,17.639999,39892400
LCID,2022-04-27,18.68,18.700001,17.99,18.07,18.07,29054500
LCID,2022-04-28,18.440001,19.049999,17.5,18.889999,18.889999,25110300
LCID,2022-04-29,18.879999,19.49,18.02,18.08,18.08,19048200
LCID,2022-05-02,18.08,19.1,17.65,19.059999,19.059999,19301500
LCID,2022-05-03,18.959999,19.68,18.809999,19.6,19.6,16090800
LCID,2022-05-04,19.325001,20.299999,18.709999,20.26,20.26,20505900
LCID,2022-05-05,19.91,19.92,18.35,18.85,18.85,22846500
LCID,2022-05-06,18.559999,19.08,17.434999,18.15,18.15,25371700
LCID,2022-05-09,17.334999,17.445,16.18,16.35,16.35,41346700
LCID,2022-05-10,17.27,17.27,15.35,15.95,15.95,31561900
LCID,2022-05-11,15.87,15.96,13.67,13.86,13.86,44037600
LCID,2022-05-12,13.57,16.42,13.25,15.69,15.69,42817000
LCID,2022-05-13,16.25,18.33,16.25,18.01,18.01,38888100
LCID,2022-05-16,18.030001,18.540001,17.24,17.360001,17.360001,18649800
LCID,2022-05-17,17.51,18.389999,17.271999,17.85,17.85,18908000
LCID,2022-05-18,17.58,18.406,17.065001,17.360001,17.360001,22487200
LCID,2022-05-19,17.747999,19.93,17.459999,19.27,19.27,39616400
LCID,2022-05-20,19.74,19.799999,17.344999,18.389999,18.389999,28540900
LCID,2022-05-23,18.309999,18.559999,17.700001,18.4,18.4,15852300
LCID,2022-05-24,17.969999,18.299999,16.860001,17.1,17.1,18049800
LCID,2022-05-25,17.045,17.59,16.76,17.450001,17.450001,18661600
LCID,2022-05-26,17.26,19.299999,17.200001,18.889999,18.889999,25111700
LCID,2022-05-27,19.23,19.879999,19.129999,19.83,19.83,19140000
LCID,2022-05-31,20.07,20.725,19.379999,20.18,20.18,24021300
LCID,2022-06-01,20.299999,20.545,19.263,19.5,19.5,15746900
LCID,2022-06-02,19.309999,20.150999,18.9,19.959999,19.959999,15584200
LCID,2022-06-03,19.24,19.379999,18.322001,18.67,18.67,18144900
LCID,2022-06-06,19.040001,19.98,18.790001,19.15,19.15,15920900
LCID,2022-06-07,18.92,19.395,18.639999,18.959999,18.959999,12598000
LCID,2022-06-08,19.01,20.110001,18.969999,19.59,19.59,15619300
LCID,2022-06-09,19.344,19.66,18.799999,18.879999,18.879999,16010800
LCID,2022-06-10,18.52,19.139999,18,18.02,18.02,14364300
LCID,2022-06-13,17.01,17.190001,16.16,16.309999,16.309999,18563800
LCID,2022-06-14,16.5,16.950001,15.8,16.6,16.6,15723100
LCID,2022-06-15,16.299999,17.66,16.219999,17.52,17.52,17671300
LCID,2022-06-16,16.85,17,15.3,15.55,15.55,19089800
LCID,2022-06-17,15.99,16.809999,15.611,16.629999,16.629999,24044000
LCID,2022-06-21,17.16,18.684999,17.15,17.9,17.9,21750400
LCID,2022-06-22,17.66,18.58,17.48,18.030001,18.030001,14301300
LCID,2022-06-23,18.110001,19.65,17.99,19.299999,19.299999,24147000
LCID,2022-06-24,19.59,19.870001,18.77,19.209999,19.209999,50117000
LCID,2022-06-27,19.01,19.34,17.940001,18.389999,18.389999,16882600
